feature,mean_abs_shap
short_ratio_pct_vs_own_hist,2.3537032546736563
short_ratio_ma5,1.214201924266884
short_ratio_lag1,0.7026644860226933
short_ratio_chg_1d,0.5079307866489697
vol_20d,0.1865637237969243
short_ratio_std5,0.163384403807114
balance_ratio_pct_vs_own_hist,0.1388640540215717
log_mktcap,0.1261623873904842
short_ratio_ma10,0.11343052194054552
ret_5d,0.09705821140480257
balance_ratio_chg_5d,0.07857003762774939
ret_20d,0.07191724507479787
is_large_cap,0.07159902972925872
short_qty_chg5,0.07078127749641128
balance_ratio_ma5,0.06022267550438909
price_ma20_gap,0.05445235961942486
log_trdval,0.047461217341419976
intraday_vol,0.040894735039633354
log_price,0.0394210598081657
turnover,0.03717202752402771
ret5_x_abnormal_vol,0.035627176025015105
ret_1d,0.03550712281408758
trdval_ma5_over_ma20,0.035046761175737524
balance_ratio_lag1,0.03077857421678326
vol_5d,0.029939647060826163
abnormal_vol,0.017326939047579894
